period,state,sector,description,index_value,yoy_pct
2025-04-01,Andhra Pradesh,urban,General Index (All Groups),101.21,
2025-04-01,Arunachal Pradesh,combined,General Index (All Groups),101.31,
2025-04-01,Arunachal Pradesh,rural,General Index (All Groups),101.24,
2025-04-01,Arunachal Pradesh,urban,General Index (All Groups),101.51,
2025-04-01,Assam,combined,General Index (All Groups),100.89,
2025-04-01,Assam,rural,General Index (All Groups),100.87,
2025-04-01,Assam,urban,General Index (All Groups),100.97,
2025-04-01,Bihar,combined,General Index (All Groups),101.24,
2025-04-01,Bihar,rural,General Index (All Groups),101.25,
2025-04-01,Bihar,urban,General Index (All Groups),101.19,
2025-04-01,Chandigarh,combined,General Index (All Groups),101.41,
2025-04-01,Chandigarh,urban,General Index (All Groups),101.41,
2025-04-01,Chhattisgarh,combined,General Index (All Groups),100.08,
2025-04-01,Chhattisgarh,rural,General Index (All Groups),99.88,
2025-04-01,Chhattisgarh,urban,General Index (All Groups),100.46,
2025-04-01,Goa,combined,General Index (All Groups),102.04,
2025-04-01,Goa,rural,General Index (All Groups),102.35,
2025-04-01,Goa,urban,General Index (All Groups),101.87,
2025-04-01,Gujarat,combined,General Index (All Groups),101.11,
2025-04-01,Gujarat,rural,General Index (All Groups),100.94,
2025-04-01,Gujarat,urban,General Index (All Groups),101.23,
2025-04-01,Haryana,combined,General Index (All Groups),102.09,
2025-04-01,Haryana,rural,General Index (All Groups),101.94,
2025-04-01,Haryana,urban,General Index (All Groups),102.24,
2025-04-01,Himachal Pradesh,combined,General Index (All Groups),101.74,
2025-04-01,Himachal Pradesh,rural,General Index (All Groups),101.68,
2025-04-01,Himachal Pradesh,urban,General Index (All Groups),102.07,
2025-04-01,Jammu And Kashmir,combined,General Index (All Groups),102.66,
2025-04-01,Jammu And Kashmir,rural,General Index (All Groups),102.89,
2025-04-01,Jammu And Kashmir,urban,General Index (All Groups),102.09,
2025-04-01,Jharkhand,combined,General Index (All Groups),100.88,
2025-04-01,Jharkhand,rural,General Index (All Groups),100.94,
2025-04-01,Jharkhand,urban,General Index (All Groups),100.76,
2025-04-01,Karnataka,combined,General Index (All Groups),102.14,
2025-04-01,Karnataka,rural,General Index (All Groups),102.29,
2025-04-01,Karnataka,urban,General Index (All Groups),101.99,
2025-04-01,Kerala,combined,General Index (All Groups),102.22,
2025-04-01,Kerala,rural,General Index (All Groups),102.36,
2025-04-01,Kerala,urban,General Index (All Groups),102.1,
2025-04-01,Ladakh,combined,General Index (All Groups),103.62,
2025-04-01,Ladakh,rural,General Index (All Groups),103.67,
2025-04-01,Ladakh,urban,General Index (All Groups),103.47,
2025-04-01,Lakshadweep,combined,General Index (All Groups),102.16,
2025-04-01,Lakshadweep,rural,General Index (All Groups),101.92,
2025-04-01,Lakshadweep,urban,General Index (All Groups),102.26,
2025-04-01,Madhya Pradesh,combined,General Index (All Groups),101.57,
2025-04-01,Madhya Pradesh,rural,General Index (All Groups),101.61,
2025-04-01,Madhya Pradesh,urban,General Index (All Groups),101.51,
2025-04-01,Maharashtra,combined,General Index (All Groups),101.81,
2025-04-01,Maharashtra,rural,General Index (All Groups),101.71,
2025-04-01,Maharashtra,urban,General Index (All Groups),101.87,
2025-04-01,Manipur,combined,General Index (All Groups),100.77,
2025-04-01,Manipur,rural,General Index (All Groups),100.41,
2025-04-01,Manipur,urban,General Index (All Groups),101.51,
2025-04-01,Meghalaya,combined,General Index (All Groups),101.61,
2025-04-01,Meghalaya,rural,General Index (All Groups),101.61,
2025-04-01,Meghalaya,urban,General Index (All Groups),101.6,
2025-04-01,Mizoram,combined,General Index (All Groups),102.14,
2025-04-01,Mizoram,rural,General Index (All Groups),102.52,
2025-04-01,Mizoram,urban,General Index (All Groups),101.85,
2025-04-01,Nagaland,combined,General Index (All Groups),101.76,
2025-04-01,Nagaland,rural,General Index (All Groups),102.33,
2025-04-01,Nagaland,urban,General Index (All Groups),100.84,
2025-04-01,Nct Of Delhi,combined,General Index (All Groups),101.23,
2025-04-01,Nct Of Delhi,rural,General Index (All Groups),99.66,
2025-04-01,Nct Of Delhi,urban,General Index (All Groups),101.26,
2025-04-01,Odisha,combined,General Index (All Groups),100.53,
2025-04-01,Odisha,rural,General Index (All Groups),100.41,
2025-04-01,Odisha,urban,General Index (All Groups),100.83,
2025-04-01,Puducherry,combined,General Index (All Groups),101.54,
2025-04-01,Puducherry,rural,General Index (All Groups),101.5,
2025-04-01,Puducherry,urban,General Index (All Groups),101.56,
2025-04-01,Punjab,combined,General Index (All Groups),102.34,
2025-04-01,Punjab,rural,General Index (All Groups),102.59,
2025-04-01,Punjab,urban,General Index (All Groups),102.04,
2025-04-01,Rajasthan,combined,General Index (All Groups),101.71,
2025-04-01,Rajasthan,rural,General Index (All Groups),101.64,
2025-04-01,Rajasthan,urban,General Index (All Groups),101.84,
2025-04-01,Sikkim,combined,General Index (All Groups),102.2,
2025-04-01,Sikkim,rural,General Index (All Groups),102.23,
2025-04-01,Sikkim,urban,General Index (All Groups),102.13,
2025-04-01,Tamil Nadu,combined,General Index (All Groups),101.57,
2025-04-01,Tamil Nadu,rural,General Index (All Groups),101.31,
2025-04-01,Tamil Nadu,urban,General Index (All Groups),101.77,
2025-04-01,Telangana,combined,General Index (All Groups),102.03,
2025-04-01,Telangana,rural,General Index (All Groups),101.86,
2025-04-01,Telangana,urban,General Index (All Groups),102.15,
2025-04-01,The Dadra And Nagar Haveli And Daman And Diu,combined,General Index (All Groups),101.09,
2025-04-01,The Dadra And Nagar Haveli And Daman And Diu,rural,General Index (All Groups),100.84,
2025-04-01,The Dadra And Nagar Haveli And Daman And Diu,urban,General Index (All Groups),101.17,
2025-04-01,Tripura,combined,General Index (All Groups),100.34,
2025-04-01,Tripura,rural,General Index (All Groups),100.45,
2025-04-01,Tripura,urban,General Index (All Groups),99.95,
2025-04-01,Uttar Pradesh,combined,General Index (All Groups),101.73,
2025-04-01,Uttar Pradesh,rural,General Index (All Groups),101.66,
2025-04-01,Uttar Pradesh,urban,General Index (All Groups),101.88,
2025-04-01,Uttarakhand,combined,General Index (All Groups),102.3,
2025-04-01,Uttarakhand,rural,General Index (All Groups),102.6,
2025-04-01,Uttarakhand,urban,General Index (All Groups),101.79,
2025-04-01,West Bengal,combined,General Index (All Groups),101.27,
2025-04-01,West Bengal,rural,General Index (All Groups),100.94,
2025-04-01,West Bengal,urban,General Index (All Groups),101.67,
2025-05-01,All India,combined,General Index (All Groups),101.9,
